54.36.148.220 - - [11/Apr/2020:00:33:20 -0700] "GET /wp-content/uploads/2013/12/14-150x1141.png HTTP/1.1" 301 3701 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
157.245.149.219 - - [11/Apr/2020:00:34:03 -0700] "GET /wp-login.php HTTP/1.1" 200 4830 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0" 
157.245.149.219 - - [11/Apr/2020:00:34:05 -0700] "POST /wp-login.php HTTP/1.1" 200 5223 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0" 
157.245.149.219 - - [11/Apr/2020:00:34:06 -0700] "GET /wp-login.php HTTP/1.1" 200 4830 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0" 
157.245.149.219 - - [11/Apr/2020:00:34:07 -0700] "POST /wp-login.php HTTP/1.1" 200 5201 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0" 
157.245.149.219 - - [11/Apr/2020:00:34:08 -0700] "POST /xmlrpc.php HTTP/1.1" 200 3697 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0" 
5.188.84.15 - - [11/Apr/2020:00:37:14 -0700] "GET /2013/pasta-madre-day-2013/ HTTP/1.0" 200 32928 "https://www.fornacalia.com/2013/pasta-madre-day-2013/#comment-1801/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.54" 
5.188.84.15 - - [11/Apr/2020:00:37:14 -0700] "POST /wp-comments-post.php HTTP/1.0" 302 4063 "https://www.fornacalia.com/2013/pasta-madre-day-2013/#comment-1801/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.54" 
54.36.148.167 - - [11/Apr/2020:00:41:05 -0700] "GET /author/jeremy/page/2/ HTTP/1.1" 200 17548 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
5.188.84.15 - - [11/Apr/2020:00:42:24 -0700] "GET /2013/pasta-madre-day-2013/ HTTP/1.0" 200 32928 "https://www.fornacalia.com/2013/pasta-madre-day-2013/#comment-1801/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36" 
64.111.100.215 - - [11/Apr/2020:00:42:25 -0700] "POST /wp-cron.php?doing_wp_cron=1586590945.0053150653839111328125 HTTP/1.1" 200 3494 "https://www.fornacalia.com/wp-cron.php?doing_wp_cron=1586590945.0053150653839111328125" "WordPress/5.2.5; https://www.fornacalia.com" 
